bdc,cik,accession,form,period_end,file_date,identifier,entity,company,type,sector,desc,affil,fv,cost,par,shares,mark,spread,rate,base_rate,pik_rate,pik,maturity,acq,ccy,fv_raw,sector_soi,affiliation_soi,investment_type_soi,base_rate_soi,maturity_soi,acq_soi,business_description,rate_floor_soi,footnotes,pct_net_assets_soi,interest_rate_soi,spread_soi,pik_rate_soi,gics_sector,gics_industry_group,type_canonical,common_name,legal_name
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Secured Debt 1","American Nuts, LLC","American Nuts, LLC",Secured Debt,,,,311000.0,311000.0,311000.0,,100.0,8.5,12.36,,12.36,True,,,USD,,,Affiliated Controlled,Secured Debt,,2028-03-28,2026-03-27,"Roaster, Mixer and Packager of Bulk Nuts and Seeds",,,,12.36,,12.36,Consumer Staples,"Food, Beverage & Tobacco",First Lien,,"American Nuts, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Secured Debt 2","American Nuts, LLC","American Nuts, LLC",Secured Debt,,,,15355000.0,16824000.0,16824000.0,,91.27,8.5,12.31,,12.31,True,,,USD,,,Affiliated Controlled,Secured Debt,,2028-03-28,2025-03-25,"Roaster, Mixer and Packager of Bulk Nuts and Seeds",,,,12.31,,12.31,Consumer Staples,"Food, Beverage & Tobacco",First Lien,,"American Nuts, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"American Nuts, LLC | Preferred Equity","American Nuts, LLC","American Nuts, LLC",Preferred Equity,,,,3780000.0,8970000.0,,26638.0,42.14,,,,,False,,,USD,,,Affiliated Controlled,Preferred Equity,,,2025-03-25,"Roaster, Mixer and Packager of Bulk Nuts and Seeds",,,,,,,Consumer Staples,"Food, Beverage & Tobacco",Preferred Equity,,"American Nuts, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Secured Debt","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Secured Debt,,,,3710000.0,3710000.0,3742000.0,,99.14,,13.25,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2029-08-16,2019-08-16,,,,,13.25,,,Industrials,Capital Goods,First Lien,,"Analytical Systems Keco Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Preferred Member Units 1","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Preferred Equity,,,,6580000.0,5587000.0,,5519.0,117.77,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2021-05-20,,,,,,,,Industrials,Capital Goods,Preferred Equity,,"Analytical Systems Keco Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Analytical Systems Keco Holdings, LLC | Warrants","Analytical Systems Keco Holdings, LLC","Analytical Systems Keco Holdings, LLC",Warrant,,,,0.0,316000.0,,420.0,0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,Warrant,,"Analytical Systems Keco Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Secured Debt 1","Batjer TopCo, LLC","Batjer TopCo, LLC",Secured Debt,,,,0.0,-2000.0,0.0,,-0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"Batjer TopCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Secured Debt 3","Batjer TopCo, LLC","Batjer TopCo, LLC",Secured Debt,,,,9833000.0,9814000.0,9833000.0,,100.0,,10.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2027-03-07,2022-03-07,,,,,10.0,,,Industrials,Capital Goods,First Lien,,"Batjer TopCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Batjer TopCo, LLC | Preferred Stock","Batjer TopCo, LLC","Batjer TopCo, LLC",Preferred Equity,,,,9370000.0,4095000.0,,4073.0,228.82,,,,,False,,,USD,,,Affiliated Controlled,Preferred Stock,,,2022-03-07,,,,,,,,Industrials,Capital Goods,Preferred Equity,,"Batjer TopCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"BDB Holdings, LLC | Secured Debt","BDB Holdings, LLC","BDB Holdings, LLC",Secured Debt,,,,1773000.0,1773000.0,1773000.0,,100.0,,12.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2027-02-27,2025-02-24,,,,,12.0,,,Industrials,Capital Goods,First Lien,,"BDB Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"BDB Holdings, LLC | Preferred Equity","BDB Holdings, LLC","BDB Holdings, LLC",Preferred Equity,,,,7780000.0,19537000.0,,19536995.0,39.82,,,,,False,,,USD,,,Affiliated Controlled,Preferred Equity,,,2024-11-04,,,,,,,,Industrials,Capital Goods,Preferred Equity,,"BDB Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Bolder Panther Group, LLC | Secured Debt","Bolder Panther Group, LLC","Bolder Panther Group, LLC",Secured Debt,,,,101046000.0,100836000.0,101046000.0,,100.0,8.4,12.09,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2027-10-31,2020-12-31,,,,,12.09,,,Consumer Staples,Consumer Staples Distribution & Retail,First Lien,Smoker Friendly,"Bolder Panther Group, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Bolder Panther Group, LLC | Class B Preferred Member Units","Bolder Panther Group, LLC","Bolder Panther Group, LLC",Equity,,,,31190000.0,14000000.0,,140000.0,222.79,,8.0,,,False,,,USD,,,Affiliated Controlled,Class B Preferred Member Units,,,2020-12-31,,,,,8.0,,,Consumer Staples,Consumer Staples Distribution & Retail,Common Equity,Smoker Friendly,"Bolder Panther Group, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Brewer Crane Holdings, LLC | Secured Debt","Brewer Crane Holdings, LLC","Brewer Crane Holdings, LLC",Secured Debt,,,,5016000.0,5016000.0,5016000.0,,100.0,10.0,13.79,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2026-12-31,2018-01-09,,,,,13.79,,,Industrials,Capital Goods,First Lien,,"Brewer Crane Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Brewer Crane Holdings, LLC | Preferred Member Units 1","Brewer Crane Holdings, LLC","Brewer Crane Holdings, LLC",Preferred Equity,,,,2970000.0,4280000.0,,2950.0,69.39,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2018-01-09,,,,,,,,Industrials,Capital Goods,Preferred Equity,,"Brewer Crane Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Brewer Crane Holdings, LLC | Preferred Member Units 2","Brewer Crane Holdings, LLC","Brewer Crane Holdings, LLC",Preferred Equity,,,,348000.0,348000.0,,312.0,100.0,,15.0,,15.0,True,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2025-07-07,,,,,15.0,,15.0,Industrials,Capital Goods,Preferred Equity,,"Brewer Crane Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Bridge Capital Solutions Corporation | Preferred Member Units,Bridge Capital Solutions Corporation,Bridge Capital Solutions Corporation,Preferred Equity,,,,0.0,1000000.0,,17742.0,0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Financials,Diversified Financials,Preferred Equity,,Bridge Capital Solutions Corporation
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Bridge Capital Solutions Corporation | Warrants,Bridge Capital Solutions Corporation,Bridge Capital Solutions Corporation,Warrant,,,,0.0,2132000.0,,82.0,0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Financials,Diversified Financials,Warrant,,Bridge Capital Solutions Corporation
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,California Splendor Holdings LLC | Secured Debt 1,California Splendor Holdings LLC,California Splendor Holdings LLC,Secured Debt,,,,-10000.0,-10000.0,0.0,,100.0,,,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Affiliated Controlled,Secured Debt,,2028-08-28,2024-03-15,,,,,,,,Cash & Equivalents,Cash & Equivalents,First Lien,California Splendor,California Splendor Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,California Splendor Holdings LLC | Secured Debt 2,California Splendor Holdings LLC,California Splendor Holdings LLC,Secured Debt,,,,25391000.0,25779000.0,25800000.0,,98.41,,14.0,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Affiliated Controlled,Secured Debt,,2028-08-28,2018-03-30,,,,,14.0,,,Cash & Equivalents,Cash & Equivalents,First Lien,California Splendor,California Splendor Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,California Splendor Holdings LLC | Preferred Member Units 1,California Splendor Holdings LLC,California Splendor Holdings LLC,Preferred Equity,,,,16107000.0,16107000.0,,11671.0,100.0,,15.0,,15.0,True,,,USD,,,Affiliated Controlled,Secured Debt,,2028-11-22,2023-11-22,,,,,13.5,,,Cash & Equivalents,Cash & Equivalents,Preferred Equity,California Splendor,California Splendor Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,California Splendor Holdings LLC | Preferred Member Units 2,California Splendor Holdings LLC,California Splendor Holdings LLC,Preferred Equity,,,,8391000.0,16402000.0,,8729.0,51.16,,,,,False,,,USD,,,Affiliated,Preferred Equity,,,2023-03-31,,,,,,,,Cash & Equivalents,Cash & Equivalents,Preferred Equity,California Splendor,California Splendor Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"CBT Nuggets, LLC | Member Units","CBT Nuggets, LLC","CBT Nuggets, LLC",Equity,,,,45570000.0,1300000.0,,416.0,3505.38,,,,,False,,,USD,,,Affiliated Controlled,Member Units,,,2006-06-01,,,,,,,,Information Technology,Software & Services,Common Equity,,"CBT Nuggets, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Centre Technologies Holdings, LLC | Secured Debt 1","Centre Technologies Holdings, LLC","Centre Technologies Holdings, LLC",Secured Debt,,,,0.0,0.0,0.0,,,8.0,,,,False,,,USD,,,,,,,,,,,,,,,Information Technology,Software & Services,First Lien,,"Centre Technologies Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Centre Technologies Holdings, LLC | Secured Debt 2","Centre Technologies Holdings, LLC","Centre Technologies Holdings, LLC",Secured Debt,,,,24085000.0,24061000.0,24085000.0,,100.0,8.0,11.79,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2028-01-04,2024-11-29,,,,,11.79,,,Information Technology,Software & Services,First Lien,,"Centre Technologies Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Centre Technologies Holdings, LLC | Preferred Member Units","Centre Technologies Holdings, LLC","Centre Technologies Holdings, LLC",Preferred Equity,,,,45940000.0,6386000.0,,13883.0,719.39,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2019-01-04,,,,,,,,Information Technology,Software & Services,Preferred Equity,,"Centre Technologies Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Chamberlin Holding LLC | Secured Debt 1,Chamberlin Holding LLC,Chamberlin Holding LLC,Secured Debt,,,,0.0,-36000.0,0.0,,-0.0,6.0,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,Chamberlin,Chamberlin Holding LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Chamberlin Holding LLC | Secured Debt 2,Chamberlin Holding LLC,Chamberlin Holding LLC,Secured Debt,,,,41220000.0,41004000.0,41220000.0,,100.0,8.0,11.86,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2029-02-26,2018-02-26,,,,,11.86,,,Industrials,Capital Goods,First Lien,Chamberlin,Chamberlin Holding LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Chamberlin Holding LLC | Member Units 1,Chamberlin Holding LLC,Chamberlin Holding LLC,Equity,,,,43590000.0,13213000.0,,1051493.0,329.9,,,,,False,,,USD,,,Affiliated Controlled,Member Units,,,2018-02-26,,,,,,,,Industrials,Capital Goods,Common Equity,Chamberlin,Chamberlin Holding LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Charps, LLC | Unsecured Debt","Charps, LLC","Charps, LLC",,,,,5694000.0,5293000.0,5694000.0,,100.0,,14.0,,,False,,,USD,,,Affiliated Controlled,Unsecured Debt,,2030-01-31,2020-08-26,,,,,14.0,,,Energy,Energy,Unsecured,,"Charps, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Charps, LLC | Preferred Member Units","Charps, LLC","Charps, LLC",Preferred Equity,,,,16020000.0,1963000.0,,1829.0,816.1,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2017-02-03,,,,,,,,Energy,Energy,Preferred Equity,,"Charps, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Clad-Rex Steel, LLC | Secured Debt 1","Clad-Rex Steel, LLC","Clad-Rex Steel, LLC",Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"Clad-Rex Steel, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Clad-Rex Steel, LLC | Secured Debt 2","Clad-Rex Steel, LLC","Clad-Rex Steel, LLC",Secured Debt,,,,10157000.0,10082000.0,10157000.0,,100.0,,10.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2030-07-31,2016-12-20,,,,,10.0,,,Industrials,Capital Goods,First Lien,,"Clad-Rex Steel, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Clad-Rex Steel, LLC | Member Units 1","Clad-Rex Steel, LLC","Clad-Rex Steel, LLC",Equity,,,,16400000.0,7789000.0,,1517.0,210.55,,,,,False,,,USD,,,Affiliated Controlled,Member Units,,,2016-12-20,,,,,,,,Industrials,Capital Goods,Common Equity,,"Clad-Rex Steel, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cody Pools, Inc. | Secured Debt 1","Cody Pools, Inc.","Cody Pools, Inc.",Secured Debt,,,,0.0,-87000.0,0.0,,-0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"Cody Pools, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cody Pools, Inc. | Secured Debt 2","Cody Pools, Inc.","Cody Pools, Inc.",Secured Debt,,,,34260000.0,33733000.0,34260000.0,,100.0,,12.5,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2030-12-03,2020-03-06,,,,,12.5,,,Industrials,Capital Goods,First Lien,,"Cody Pools, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cody Pools, Inc. | Preferred Member Units","Cody Pools, Inc.","Cody Pools, Inc.",Preferred Equity,,,,64270000.0,8317000.0,,587.0,772.75,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2020-03-06,,,,,,,,Industrials,Capital Goods,Preferred Equity,,"Cody Pools, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Colonial Electric Company LLC | Secured Debt 1,Colonial Electric Company LLC,Colonial Electric Company LLC,Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,,,,,,,,,,,,,,,Cash & Equivalents,Cash & Equivalents,First Lien,,Colonial Electric Company LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Colonial Electric Company LLC | Secured Debt 2,Colonial Electric Company LLC,Colonial Electric Company LLC,Secured Debt,,,,8779000.0,8685000.0,8779000.0,,100.0,,9.0,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Affiliated Controlled,Secured Debt,,2028-03-31,2021-03-31,Provider of Electrical Contracting Services,,,,9.0,,,Cash & Equivalents,Cash & Equivalents,First Lien,,Colonial Electric Company LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Colonial Electric Company LLC | Preferred Member Units,Colonial Electric Company LLC,Colonial Electric Company LLC,Preferred Equity,,,,18950000.0,7680000.0,,17280.0,246.74,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2021-03-31,Business Description,,,,,,,Cash & Equivalents,Cash & Equivalents,Preferred Equity,,Colonial Electric Company LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"CompareNetworks Topco, LLC | Secured Debt","CompareNetworks Topco, LLC","CompareNetworks Topco, LLC",Secured Debt,,,,3936000.0,3995000.0,4000000.0,,98.4,11.0,14.79,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2019-01-29,,,,,,,,Communication Services,Media & Entertainment,First Lien,,"CompareNetworks Topco, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"CompareNetworks Topco, LLC | Preferred Member Units","CompareNetworks Topco, LLC","CompareNetworks Topco, LLC",Preferred Equity,,,,3900000.0,3520000.0,,2250.0,110.8,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2019-01-29,,,,,,,,Communication Services,Media & Entertainment,Preferred Equity,,"CompareNetworks Topco, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Compass Systems & Sales, LLC | Secured Debt 1","Compass Systems & Sales, LLC","Compass Systems & Sales, LLC",Secured Debt,,,,-14000.0,-14000.0,0.0,,100.0,,,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Affiliated Controlled,Secured Debt,,2028-11-22,2023-11-22,,,,,,,,Cash & Equivalents,Cash & Equivalents,First Lien,,"Compass Systems & Sales, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Compass Systems & Sales, LLC | Secured Debt 2","Compass Systems & Sales, LLC","Compass Systems & Sales, LLC",Secured Debt,,,,15976000.0,16115000.0,16200000.0,,98.62,,13.5,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2028-11-22,2023-11-22,,,,,13.5,,,Cash & Equivalents,Cash & Equivalents,First Lien,,"Compass Systems & Sales, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Compass Systems & Sales, LLC | Preferred Equity","Compass Systems & Sales, LLC","Compass Systems & Sales, LLC",Preferred Equity,,,,7450000.0,7454000.0,,7454.0,99.95,,,,,False,,,USD,,,Affiliated Controlled,Preferred Equity,,,2023-11-22,,,,,,,,Cash & Equivalents,Cash & Equivalents,Preferred Equity,,"Compass Systems & Sales, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Copper Trail Fund Investments | LP Interests (CTMH, LP)",Copper Trail Fund Investments,Copper Trail Fund Investments,LP Interest,,,,530000.0,390000.0,,,135.9,,,,,False,,,USD,,,Affiliated Controlled,"LP Interests (CTMH, LP)",,,2017-07-17,Investment Partnership,,,,,,,Financials,Diversified Financials,Common Equity,,Copper Trail Fund Investments
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cybermedia Technologies, LLC | Secured Debt 1","Cybermedia Technologies, LLC","Cybermedia Technologies, LLC",Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,,,,,,,,,,,,,,,Information Technology,Software & Services,First Lien,,"Cybermedia Technologies, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cybermedia Technologies, LLC | Secured Debt 2","Cybermedia Technologies, LLC","Cybermedia Technologies, LLC",Secured Debt,,,,26692000.0,26697000.0,26810000.0,,99.56,,13.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2028-05-05,2023-05-05,,,,,13.0,,,Information Technology,Software & Services,First Lien,,"Cybermedia Technologies, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Cybermedia Technologies, LLC | Preferred Member Units","Cybermedia Technologies, LLC","Cybermedia Technologies, LLC",Preferred Equity,,,,10960000.0,17400000.0,,2400556.0,62.99,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2023-05-05,,,,,,,,Information Technology,Software & Services,Preferred Equity,,"Cybermedia Technologies, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Datacom, LLC | Secured Debt 1","Datacom, LLC","Datacom, LLC",Secured Debt,,,,675000.0,675000.0,675000.0,,100.0,,7.5,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2025-12-31,2022-03-01,,,,,7.5,,,Information Technology,Technology Hardware & Equipment,First Lien,,"Datacom, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Datacom, LLC | Secured Debt 2","Datacom, LLC","Datacom, LLC",Secured Debt,,,,3086000.0,7745000.0,7745000.0,,39.85,,10.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2025-12-31,2021-03-31,,,,,10.0,,,Information Technology,Technology Hardware & Equipment,First Lien,,"Datacom, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Datacom, LLC | Preferred Member Units","Datacom, LLC","Datacom, LLC",Preferred Equity,,,,0.0,2970000.0,,9360.0,0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Information Technology,Technology Hardware & Equipment,Preferred Equity,,"Datacom, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Digital Products Holdings LLC | Secured Debt,Digital Products Holdings LLC,Digital Products Holdings LLC,Secured Debt,,,,11348000.0,11953000.0,11957000.0,,94.91,10.0,13.69,,,False,,,USD,,Money market funds (included in cash and cash equivalents),Affiliated Controlled,Secured Debt,,2026-04-27,2018-04-01,,,,,13.88,,,Cash & Equivalents,Cash & Equivalents,First Lien,,Digital Products Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,Digital Products Holdings LLC | Preferred Member Units,Digital Products Holdings LLC,Digital Products Holdings LLC,Preferred Equity,,,,9835000.0,9501000.0,,3857.0,103.52,,,,,False,,,USD,,,Affiliated Controlled,Preferred Member Units,,,2018-04-01,,,,,,,,Cash & Equivalents,Cash & Equivalents,Preferred Equity,,Digital Products Holdings LLC
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Direct Marketing Solutions, Inc. | Secured Debt 1","Direct Marketing Solutions, Inc.","Direct Marketing Solutions, Inc.",Secured Debt,,,,0.0,-30000.0,0.0,,-0.0,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Commercial & Professional Services,First Lien,,"Direct Marketing Solutions, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Direct Marketing Solutions, Inc. | Secured Debt 2","Direct Marketing Solutions, Inc.","Direct Marketing Solutions, Inc.",Secured Debt,,,,43857000.0,43519000.0,43857000.0,,100.0,,14.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2031-02-28,2022-12-27,,,,,14.0,,,Industrials,Commercial & Professional Services,First Lien,,"Direct Marketing Solutions, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Direct Marketing Solutions, Inc. | Preferred Stock","Direct Marketing Solutions, Inc.","Direct Marketing Solutions, Inc.",Preferred Equity,,,,28834000.0,13040000.0,,9936.0,221.12,,,,,False,,,USD,,,Affiliated Controlled,Preferred Stock,,,2018-02-13,,,,,,,,Industrials,Commercial & Professional Services,Preferred Equity,,"Direct Marketing Solutions, Inc."
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Doral Holdings, LLC | Secured Debt 1","Doral Holdings, LLC","Doral Holdings, LLC",Secured Debt,,,,0.0,0.0,0.0,,,,,,,False,,,USD,,,,,,,,,,,,,,,Industrials,Capital Goods,First Lien,,"Doral Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Doral Holdings, LLC | Secured Debt 2","Doral Holdings, LLC","Doral Holdings, LLC",Secured Debt,,,,22500000.0,22316000.0,22500000.0,,100.0,,13.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2030-05-20,2025-05-20,Business Description,,,,13.0,,,Industrials,Capital Goods,First Lien,,"Doral Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Doral Holdings, LLC | Preferred Equity","Doral Holdings, LLC","Doral Holdings, LLC",Preferred Equity,,,,24200000.0,13000000.0,,13000.0,186.15,,,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2026-12-01,2021-12-01,,,,,11.5,,,Industrials,Capital Goods,Preferred Equity,,"Doral Holdings, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Elgin AcquireCo, LLC | Secured Debt 1","Elgin AcquireCo, LLC","Elgin AcquireCo, LLC",Secured Debt,,,,-2000.0,-2000.0,0.0,,100.0,6.0,,,,False,,,USD,,Table of contents,Affiliated Controlled,6.00 %,,,,SF+,,,,,,,Industrials,Capital Goods,First Lien,,"Elgin AcquireCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Elgin AcquireCo, LLC | Secured Debt 2","Elgin AcquireCo, LLC","Elgin AcquireCo, LLC",Secured Debt,,,,16611000.0,16611000.0,16661000.0,,99.7,,12.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2027-10-03,2022-10-03,,,,,12.0,,,Industrials,Capital Goods,First Lien,,"Elgin AcquireCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Elgin AcquireCo, LLC | Secured Debt 3","Elgin AcquireCo, LLC","Elgin AcquireCo, LLC",Secured Debt,,,,6143000.0,6143000.0,6198000.0,,99.11,,9.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2052-10-03,2022-10-03,,,,,9.0,,,Industrials,Capital Goods,First Lien,,"Elgin AcquireCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Elgin AcquireCo, LLC | Common Stock 1","Elgin AcquireCo, LLC","Elgin AcquireCo, LLC",Common Equity,,,,8520000.0,7284000.0,,1224.0,116.97,,,,,False,,,USD,,,Affiliated Controlled,Common Stock,,,2022-10-03,,,,,,,,Industrials,Capital Goods,Common Equity,,"Elgin AcquireCo, LLC"
MAIN,0001396440,0001396440-26-000073,10-Q,2026-03-31,2026-05-08,"Flame King Holdings, LLC | Secured Debt","Flame King Holdings, LLC","Flame King Holdings, LLC",Secured Debt,,,,66000000.0,65448000.0,66000000.0,,100.0,,12.0,,,False,,,USD,,,Affiliated Controlled,Secured Debt,,2030-06-30,2025-06-30,,,,,12.0,,,Industrials,Capital Goods,First Lien,Flame King,"Flame King Holdings, LLC"
